import time: self [us] | cumulative | imported package
import time:       217 |        217 |                             scipy._lib._sparse
import time:       316 |        532 |                           scipy._lib._array_api_override
import time:       189 |        720 |                         scipy._lib._array_api_compat_vendor
import time:       240 |        960 |                       scipy._lib.array_api_extra._lib._utils._compat
import time:       171 |        171 |                         scipy._lib.array_api_extra._lib._utils._typing
import time:       383 |        553 |                       scipy._lib.array_api_extra._lib._utils._helpers
import time:       416 |       2161 |                     scipy._lib.array_api_extra._lib._at
import time:       389 |       2549 |                   scipy._lib.array_api_extra._lib._funcs
import time:       392 |       3150 |                 scipy._lib.array_api_extra._delegation
import time:       240 |        240 |                 scipy._lib.array_api_extra._lib._lazy
import time:       262 |       3650 |               scipy._lib.array_api_extra
import time:       310 |       3960 |             scipy._lib.array_api_extra.testing
import time:       735 |        735 |                 pkgutil
import time:       607 |        607 |                   urllib
import time:      1273 |       1273 |                   ipaddress
import time:      1301 |       3180 |                 urllib.parse
import time:       597 |        597 |                   _pyrepl
import time:       748 |       1344 |                 _pyrepl.pager
import time:      1682 |       6939 |               pydoc
import time:      1116 |       8055 |             scipy._lib._docscrape
import time:       818 |     281451 |           scipy._lib._array_api
import time:       746 |        746 |               scipy._lib._util
import time:       208 |        208 |               scipy.ndimage._ni_support
import time:       311 |        311 |               scipy.ndimage._nd_image
import time:       258 |        258 |                 scipy._lib.doccer
import time:       265 |        523 |               scipy.ndimage._ni_docstrings
import time:       246 |        246 |               scipy.ndimage._rank_filter_1d
import time:      1216 |       3249 |             scipy.ndimage._filters
import time:       227 |        227 |             scipy.ndimage._fourier
import time:       386 |        386 |               scipy.special._sf_error
import time:      1137 |       1137 |                 scipy.special._ufuncs_cxx
import time:       280 |        280 |                 scipy.special._ellip_harm_2
import time:       959 |        959 |                 scipy.special._special_ufuncs
import time:       554 |        554 |                 scipy.special._gufuncs
import time:      1996 |       4923 |               scipy.special._ufuncs
import time:       197 |        197 |                 scipy.special._input_validation
import time:       438 |        438 |                 scipy.special._specfun
import time:       248 |        248 |                 scipy.special._comb
import time:       526 |       1408 |               scipy.special._basic
import time:       193 |        193 |                 scipy.special._spfun_stats
import time:     21749 |      21942 |               scipy.special._support_alternative_backends
import time:      1076 |       1076 |               scipy.special._logsumexp
