import time: self [us] | cumulative | imported package
import time:      1262 |       1262 |                 colour.corresponding.prediction
import time:       240 |       4230 |               colour.corresponding
import time:       217 |       4447 |             colour.plotting.corresponding
import time:      1104 |       1104 |                       colour.appearance.atd95
import time:      1485 |       1485 |                           colour.appearance.hunt
import time:      1194 |       2679 |                         colour.appearance.ciecam02
import time:       984 |       3663 |                       colour.appearance.cam16
import time:       965 |        965 |                       colour.appearance.ciecam16
import time:      1850 |       1850 |                       colour.appearance.hellwig2022
import time:       217 |        217 |                       colour.appearance.hke
import time:      1271 |       1271 |                       colour.appearance.kim2009
import time:      1414 |       1414 |                       colour.appearance.llab
import time:      1082 |       1082 |                       colour.appearance.nayatani95
import time:       936 |        936 |                       colour.appearance.rlab
import time:      1066 |       1066 |                       colour.appearance.scam
import time:      1819 |       1819 |                       colour.appearance.zcam
import time:       356 |      15736 |                     colour.appearance
import time:      2657 |       2657 |                         colour.quality.datasets.tcs
import time:      2687 |       2687 |                         colour.quality.datasets.vs
import time:       312 |       5656 |                       colour.quality.datasets
import time:       871 |        871 |                       colour.quality.cfi2017
import time:      1052 |       1052 |                       colour.quality.cqs
import time:       848 |        848 |                       colour.quality.cri
import time:       395 |        395 |                       colour.quality.ssi
import time:       697 |        697 |                       colour.quality.tm3018
import time:       345 |       9860 |                     colour.quality
import time:       292 |        292 |                         colour.recovery.datasets.dyer2017
import time:       740 |        740 |                         colour.recovery.datasets.mallett2019
import time:       257 |        257 |                         colour.recovery.datasets.otsu2018
import time:       693 |        693 |                         colour.recovery.datasets.smits1999
import time:       310 |       2289 |                       colour.recovery.datasets
import time:       242 |        242 |                           colour.difference.cam02_ucs
import time:       196 |        196 |                           colour.difference.cam16_ucs
import time:       651 |        651 |                           colour.difference.delta_e
import time:       176 |        176 |                           colour.difference.din99
import time:       182 |        182 |                           colour.difference.huang2015
import time:       184 |        184 |                           colour.difference.metamerism_index
import time:       169 |        169 |                           colour.difference.stress
import time:       380 |       2178 |                         colour.difference
import time:       296 |        296 |                         tqdm
import time:       449 |       2922 |                       colour.recovery.jakob2019
import time:       213 |        213 |                       colour.recovery.jiang2013
import time:       194 |        194 |                       colour.recovery.mallett2019
import time:       211 |        211 |                       colour.recovery.meng2015
import time:       233 |        233 |                         tqdm
import time:       666 |        899 |                       colour.recovery.otsu2018
import time:       393 |        393 |                       colour.recovery.smits1999
import time:       348 |       7466 |                     colour.recovery
import time:      1375 |      34436 |                   colour.graph.conversion
import time:       274 |      34710 |                 colour.graph.common
import time:       215 |      34924 |               colour.graph
import time:       218 |      35142 |             colour.plotting.graph
import time:       573 |        573 |             colour.plotting.models
import time:       193 |        193 |             colour.plotting.notation
import time:       626 |        626 |                   colour.phenomena.tmm
import time:       310 |        935 |                 colour.phenomena.interference
import time:       259 |        259 |                 colour.phenomena.rayleigh
import time:       232 |       1425 |               colour.phenomena
import time:       316 |       1740 |             colour.plotting.phenomena
import time:       221 |        221 |             colour.plotting.quality
import time:       270 |        270 |             colour.plotting.section
import time:       279 |        279 |             colour.plotting.temperature
import time:       325 |        325 |                 colour.plotting.tm3018.components
import time:       320 |        645 |               colour.plotting.tm3018.report
import time:       221 |        866 |             colour.plotting.tm3018
import time:       362 |        362 |             colour.plotting.volume
import time:      1297 |     513387 |           colour.plotting
import time:       294 |        294 |             colour.contrast.barten1999
import time:       239 |        532 |           colour.contrast
import time:      1044 |     514962 |         colour
import time:       280 |     515242 |       paletti.color
import time:       192 |        192 |       paletti.dither
import time:       895 |     876886 |     paletti.core
import time:       368 |        368 |         PIL._version
import time:       471 |        838 |       PIL
import time:      2746 |       2746 |         PIL.ExifTags
import time:       397 |        397 |         PIL.ImageMode
import time:       581 |        581 |         PIL.TiffTags
import time:       209 |        209 |         PIL._binary
import time:       185 |        185 |         PIL._deprecate
import time:       282 |        282 |         PIL._util
import time:       247 |        247 |         defusedxml
import time:       834 |        834 |         PIL._imaging
import time:      1604 |       7082 |       PIL.Image
import time:       206 |       8125 |     paletti.imageio
import time:       291 |        291 |       PIL.ImageColor
import time:       453 |        743 |     paletti.palette
import time:       785 |    1049130 |   paletti.cli
import time:       486 |    1049615 | paletti
